Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker
2024-05-09 00:00:00-04:00,505.08770969254925,507.8504891521531,504.4336447297941,507.8114013671875,43643700,0.0,0.0,0.0,SPY
2024-05-10 00:00:00-04:00,509.4124099670415,510.2227068337735,507.24518313883544,508.4654846191406,52233200,0.0,0.0,0.0,SPY
2024-05-13 00:00:00-04:00,510.1445741767588,510.2519464031073,507.391566976992,508.53375244140625,36716400,0.0,0.0,0.0,SPY
2024-05-14 00:00:00-04:00,508.72906418826113,511.3844713761404,508.19214341702855,510.8670349121094,57535900,0.0,0.0,0.0,SPY
2024-05-15 00:00:00-04:00,513.3370109807618,517.4860367605042,512.7024302627835,517.1931762695312,59504900,0.0,0.0,0.0,SPY
2024-05-16 00:00:00-04:00,517.2906355349904,518.891685229184,515.9824462519231,516.12890625,50244800,0.0,0.0,0.0,SPY
2024-05-17 00:00:00-04:00,516.2460410203236,516.9391936348987,514.7914513506761,516.870849609375,59187600,0.0,0.0,0.0,SPY
2024-05-20 00:00:00-04:00,516.9880819887991,518.930792527948,516.5975616577482,517.4664306640625,37764200,0.0,0.0,0.0,SPY
2024-05-21 00:00:00-04:00,516.7050565718225,518.8918276886369,516.5000244352296,518.735595703125,33437000,0.0,0.0,0.0,SPY
2024-05-22 00:00:00-04:00,518.0423461143242,518.7549830261315,515.0647631915122,517.2418212890625,48390000,0.0,0.0,0.0,SPY
2024-05-23 00:00:00-04:00,520.2975559093766,520.4049281460258,512.2532779910508,513.4638671875,57211200,0.0,0.0,0.0,SPY
2024-05-24 00:00:00-04:00,515.3090169926944,517.671564163704,514.3620914027401,516.8612670898438,41291100,0.0,0.0,0.0,SPY
2024-05-28 00:00:00-04:00,517.6713823915322,517.9056707197677,514.5864271763583,517.2222900390625,36269600,0.0,0.0,0.0,SPY
2024-05-29 00:00:00-04:00,513.1904592530791,514.7817371522767,512.8878268689698,513.6004638671875,45190300,0.0,0.0,0.0,SPY
2024-05-30 00:00:00-04:00,512.0581664345199,512.7220034469959,508.94395393500866,510.1935119628906,46377600,0.0,0.0,0.0,SPY
2024-05-31 00:00:00-04:00,511.15011057316815,514.967187107586,506.04432903435765,514.8402709960938,90785800,0.0,0.0,0.0,SPY
2024-06-03 00:00:00-04:00,516.4511771729021,516.7342656913833,510.18366530067414,515.2601318359375,46835700,0.0,0.0,0.0,SPY
2024-06-04 00:00:00-04:00,513.9519821715993,516.5780734778808,512.4876203186922,515.8361206054688,34632700,0.0,0.0,0.0,SPY
2024-06-05 00:00:00-04:00,518.1596136281009,521.9864628385163,516.1680432425981,521.9669189453125,47610400,0.0,0.0,0.0,SPY
2024-06-06 00:00:00-04:00,522.2694966184689,522.6990451286446,520.0241537818829,521.9570922851562,30808500,0.0,0.0,0.0,SPY
2024-06-07 00:00:00-04:00,520.980911626184,524.1342115774243,519.8875261250549,521.3226318359375,43224500,0.0,0.0,0.0,SPY
2024-06-10 00:00:00-04:00,520.5122904328304,523.255525898201,519.916797584573,522.933349609375,35686100,0.0,0.0,0.0,SPY
2024-06-11 00:00:00-04:00,521.3812301755825,524.2513821567796,519.4092035615838,524.1928100585938,36383400,0.0,0.0,0.0,SPY
2024-06-12 00:00:00-04:00,528.7615900630306,531.1924214122917,527.4631724257194,528.4979858398438,63251300,0.0,0.0,0.0,SPY
2024-06-13 00:00:00-04:00,530.2453924252503,530.4211086780596,526.7699763935087,529.56201171875,44760900,0.0,0.0,0.0,SPY
2024-06-14 00:00:00-04:00,528.0293342324846,529.9134725597781,527.0237772162169,529.8842163085938,40089900,0.0,0.0,0.0,SPY
2024-06-17 00:00:00-04:00,529.2008114818414,535.49757872361,528.7419471638832,534.1015014648438,55839500,0.0,0.0,0.0,SPY
2024-06-18 00:00:00-04:00,534.16013957423,535.585473259027,533.7403629842298,535.4585571289062,41376400,0.0,0.0,0.0,SPY
2024-06-20 00:00:00-04:00,536.3859370269113,537.0497738552268,532.2271402161125,534.00390625,70328200,0.0,0.0,0.0,SPY
2024-06-21 00:00:00-04:00,533.1803062748603,534.4045446160707,531.828742363983,533.2880249023438,64338600,1.759,0.0,0.0,SPY
2024-06-24 00:00:00-04:00,533.1117619254674,535.6777608035513,531.4369822915095,531.5545043945312,45528700,0.0,0.0,0.0,SPY
2024-06-25 00:00:00-04:00,532.7788478393535,533.9639323519827,531.2608038949288,533.6015625,37936200,0.0,0.0,0.0,SPY
2024-06-26 00:00:00-04:00,532.4848968900385,534.9823310545671,531.8385253727439,534.2673950195312,38550600,0.0,0.0,0.0,SPY
2024-06-27 00:00:00-04:00,534.1302894973802,535.6875469780335,533.3859430174333,535.1096801757812,35041500,0.0,0.0,0.0,SPY
2024-06-28 00:00:00-04:00,535.883439640916,538.9391939081404,531.76024266257,533.0040283203125,76144500,0.0,0.0,0.0,SPY
2024-07-01 00:00:00-04:00,534.3848928648134,534.6297405125247,531.339002473828,534.1008911132812,40297800,0.0,0.0,0.0,SPY
2024-07-02 00:00:00-04:00,532.4947501316359,537.6953125,532.4457925507478,537.6953125,40434800,0.0,0.0,0.0,SPY
2024-07-03 00:00:00-04:00,537.3819778344747,540.4572795070011,537.3428237195677,540.0949096679688,32789900,0.0,0.0,0.0,SPY
2024-07-05 00:00:00-04:00,540.3983822148235,543.6107523683424,539.7617544001083,543.209228515625,41488400,0.0,0.0,0.0,SPY
2024-07-08 00:00:00-04:00,543.9928578751316,544.7861620751073,542.7686193086706,543.836181640625,36110500,0.0,0.0,0.0,SPY
2024-07-09 00:00:00-04:00,544.7959245684453,545.6969473479489,544.0711849559792,544.364990234375,27289700,0.0,0.0,0.0,SPY
2024-07-10 00:00:00-04:00,545.5892370725392,550.0944108163902,545.2954317896393,549.7516479492188,38701200,0.0,0.0,0.0,SPY
2024-07-11 00:00:00-04:00,549.8690290838814,550.7407010140586,544.3746624818856,545.01123046875,53054200,0.0,0.0,0.0,SPY
2024-07-12 00:00:00-04:00,546.1376269625789,552.0531251206323,545.667538567234,548.448974609375,53084400,0.0,0.0,0.0,SPY
2024-07-15 00:00:00-04:00,550.4469707289841,553.1990561394715,548.0964091939553,549.957275390625,40584300,0.0,0.0,0.0,SPY
2024-07-16 00:00:00-04:00,551.2696499606263,553.5124331903285,550.51549997726,553.2186279296875,36475300,0.0,0.0,0.0,SPY
2024-07-17 00:00:00-04:00,547.2835053633577,548.9582849622979,545.1386373621594,545.4618530273438,57119000,0.0,0.0,0.0,SPY
2024-07-18 00:00:00-04:00,546.9994907975359,547.9886849352189,539.0859974733345,541.27001953125,56270400,0.0,0.0,0.0,SPY
2024-07-19 00:00:00-04:00,541.0350233261719,542.6608454522978,536.6179614633988,537.6757202148438,65509100,0.0,0.0,0.0,SPY
2024-07-22 00:00:00-04:00,541.6031583779978,543.8263948114603,539.6639835581032,543.2191772460938,43346700,0.0,0.0,0.0,SPY
2024-07-23 00:00:00-04:00,543.1112299862826,545.2659012148495,541.8772480700306,542.366943359375,34439600,0.0,0.0,0.0,SPY
2024-07-24 00:00:00-04:00,537.5483785668235,537.8519873002513,529.1549928867055,530.0756225585938,74515300,0.0,0.0,0.0,SPY
2024-07-25 00:00:00-04:00,530.1930703849662,536.1771923025162,526.373482961852,527.3136596679688,61158300,0.0,0.0,0.0,SPY
2024-07-26 00:00:00-04:00,531.1040247828195,535.9128068838628,530.3302678617441,533.219482421875,53763800,0.0,0.0,0.0,SPY
2024-07-29 00:00:00-04:00,534.7668786438925,535.775619885458,531.534841817287,533.5328369140625,39515800,0.0,0.0,0.0,SPY
2024-07-30 00:00:00-04:00,535.0018639723148,536.0596224497041,527.4213910684044,530.8296508789062,46853600,0.0,0.0,0.0,SPY
2024-07-31 00:00:00-04:00,537.665950025587,542.0928156342903,536.2948387521341,539.458251953125,65663400,0.0,0.0,0.0,SPY
2024-08-01 00:00:00-04:00,541.1819427118934,543.4345294348678,528.3127341764186,531.8189697265625,76428700,0.0,0.0,0.0,SPY
2024-08-02 00:00:00-04:00,524.7085367838448,525.9229716163323,517.705869778205,521.9172973632812,82789100,0.0,0.0,0.0,SPY
2024-08-05 00:00:00-04:00,501.0954700551791,512.7893973566776,499.75367969518885,506.7171630859375,146267400,0.0,0.0,0.0,SPY
2024-08-06 00:00:00-04:00,508.5192787931633,518.832292941033,507.19712508166475,511.3889465332031,84826300,0.0,0.0,0.0,SPY
2024-08-07 00:00:00-04:00,517.5786469147923,520.6344013211964,507.3734111313128,507.9708251953125,70698300,0.0,0.0,0.0,SPY
2024-08-08 00:00:00-04:00,513.1124804789883,520.3403875727178,511.08519462973396,519.713623046875,63276600,0.0,0.0,0.0,SPY
2024-08-09 00:00:00-04:00,518.8910375919244,523.4941863094633,517.66679909137,522.0054931640625,45619600,0.0,0.0,0.0,SPY
2024-08-12 00:00:00-04:00,523.2003538167259,524.6889871074426,520.0075304089534,522.2797241210938,42542100,0.0,0.0,0.0,SPY
2024-08-13 00:00:00-04:00,525.4723832838852,531.1038783333645,525.2275356730382,530.8687744140625,52333100,0.0,0.0,0.0,SPY
2024-08-14 00:00:00-04:00,531.6622865517797,533.7288466275766,528.9885687226673,532.5437622070312,42446900,0.0,0.0,0.0,SPY
2024-08-15 00:00:00-04:00,538.1752594686596,541.9556937145602,537.5680419380651,541.6716918945312,60846800,0.0,0.0,0.0,SPY
2024-08-16 00:00:00-04:00,540.0556546584454,543.5814973816967,539.8989784334714,542.8861083984375,44430700,0.0,0.0,0.0,SPY
2024-08-19 00:00:00-04:00,543.2974116195307,548.0768432617188,542.4453464492109,548.0768432617188,39121800,0.0,0.0,0.0,SPY
2024-08-20 00:00:00-04:00,547.6264067744836,549.2815796690877,545.843908289735,547.1856689453125,33732300,0.0,0.0,0.0,SPY
2024-08-21 00:00:00-04:00,548.2336427512126,550.5253838963663,543.2974745420673,549.0661010742188,41514600,0.0,0.0,0.0,SPY
2024-08-22 00:00:00-04:00,550.9660777475402,551.5732952522009,543.5422788578662,544.7567138671875,56121500,0.0,0.0,0.0,SPY
2024-08-23 00:00:00-04:00,547.9985298599797,551.4851585059275,545.8046443878154,550.544921875,50639400,0.0,0.0,0.0,SPY
2024-08-26 00:00:00-04:00,551.5732410031779,552.2881770773529,547.528352675827,549.2324829101562,35788600,0.0,0.0,0.0,SPY
2024-08-27 00:00:00-04:00,547.9593482100599,550.4763897351174,546.8134777136145,549.9866943359375,32693900,0.0,0.0,0.0,SPY
2024-08-28 00:00:00-04:00,549.6439450462528,550.0748793992682,543.601060631449,546.7938842773438,41066000,0.0,0.0,0.0,SPY
2024-08-29 00:00:00-04:00,548.7623394799141,552.0628809883677,545.6968421488655,546.8427124023438,38715200,0.0,0.0,0.0,SPY
2024-08-30 00:00:00-04:00,549.212987410433,552.5722906161151,545.6577940930898,552.06298828125,62700100,0.0,0.0,0.0,SPY
2024-09-03 00:00:00-04:00,548.9190687874888,549.2520879225416,538.18498513228,540.7020263671875,60600100,0.0,0.0,0.0,SPY
2024-09-04 00:00:00-04:00,538.860854815549,543.0036589607188,538.136115154692,539.5953979492188,47224900,0.0,0.0,0.0,SPY
2024-09-05 00:00:00-04:00,539.5364855369387,542.3864857940848,535.8245570186228,538.2828369140625,44264300,0.0,0.0,0.0,SPY
2024-09-06 00:00:00-04:00,538.6061519080256,540.2319142524223,528.3225490242058,529.2235717773438,68493800,0.0,0.0,0.0,SPY
2024-09-09 00:00:00-04:00,533.4251872668898,536.4221205223048,531.4957564364314,535.1488647460938,40445800,0.0,0.0,0.0,SPY
2024-09-10 00:00:00-04:00,537.05860555086,537.8323623685915,532.1812595780266,537.479736328125,36394600,0.0,0.0,0.0,SPY
2024-09-11 00:00:00-04:00,537.3916883108078,543.9144040618945,528.8318231688719,542.9937744140625,75248600,0.0,0.0,0.0,SPY
